time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
29,9727,20.601803,0.326514,0.332065,0.339056,0.000206,0.0,0.0,0.000103,0.0,0.0,0.0,0.0,0.0,0.000103,0.000822,0.0,0.000308,0.000617,0.000206,0.0,0.0,0.008415,0.318432,0.008204,0.547049,0.072674,1.012215,0.639868,0,713,486,2695,1122,5910,0,0.0,0.037631,147,1,96887.6519
30,10474,20.768486,0.326523,0.331583,0.339412,0.000191,0.0,0.0,9.5e-05,0.0,0.0,0.0,0.0,0.0,9.5e-05,0.000955,0.0,0.000286,0.000668,0.000191,0.0,0.0,0.00761,0.293833,0.008957,0.516465,0.072692,1.013615,0.590796,3,1314,567,3839,1043,5592,0,0.0,0.041889,157,4,104327.5429
31,9615,20.897147,0.327301,0.332085,0.338326,0.000208,0.0,0.0,0.000104,0.0,0.0,0.0,0.0,0.0,0.000104,0.00104,0.0,0.000208,0.00052,0.000104,0.0,0.0,0.0,0.353976,0.01001,0.591251,0.072837,1.013549,0.7117,0,0,859,1820,1710,6085,0,0.0,0.048257,157,4,115079.8083
32,11129,21.03536,0.327073,0.334442,0.336149,0.00018,0.0,0.0,9e-05,0.0,0.0,0.0,0.0,0.0,0.00018,0.000988,0.0,0.00027,0.000539,9e-05,0.0,0.0,0.008189,0.28506,0.010859,0.481186,0.073022,1.01238,0.572468,0,2076,562,3782,1608,5739,0,0.0,0.053551,174,4,124787.6527
33,9954,21.249847,0.323789,0.336448,0.337653,0.000201,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.000201,0.000904,0.0,0.000201,0.000402,0.0001,0.0,0.0,0.0,0.370725,0.011851,0.590822,0.072883,1.012181,0.744726,0,0,1175,3377,0,6577,0,0.0,0.058505,174,4,131305.9211
34,9871,21.442286,0.324992,0.33563,0.337352,0.000203,0.0,0.0,0.000101,0.0,0.0,0.0,0.0,0.0,0.000203,0.00081,0.0,0.000203,0.000405,0.000101,0.0,0.0,0.010345,0.365641,0.012784,0.556371,0.073024,1.013913,0.734475,0,580,663,3241,501,6129,0,0.0,0.063571,180,4,138956.5647
35,10736,21.593296,0.323025,0.335693,0.339326,0.000279,0.0,0.0,0.000186,0.0,0.0,0.0,0.0,0.0,9.3e-05,0.000652,0.0,0.000279,0.000373,9.3e-05,0.0,0.0,0.00876,0.335687,0.013638,0.510109,0.072792,1.013415,0.674739,9,1484,619,3660,1331,5745,0,0.0,0.069224,193,13,148895.4472
36,9770,21.808988,0.324974,0.33521,0.337769,0.000307,0.0,0.0,0.000205,0.0,0.0,0.0,0.0,0.0,0.000102,0.000716,0.0,0.000307,0.000307,0.000102,0.0,0.0,0.0,0.396258,0.01435,0.592066,0.072868,1.01379,0.795701,0,0,966,3352,0,6418,0,0.0,0.074267,193,13,155918.5526
37,10226,21.955326,0.324467,0.337082,0.336397,0.000293,0.0,0.0,0.000196,0.0,0.0,0.0,0.0,0.0,9.8e-05,0.000782,0.0,0.000293,0.000293,9.8e-05,0.0,0.0,0.009964,0.366199,0.015118,0.52827,0.072882,1.015055,0.736554,0,1104,648,2820,1413,5993,0,0.0,0.080658,204,13,166972.0129
38,9404,22.169427,0.325606,0.338367,0.3339,0.000319,0.0,0.0,0.000213,0.0,0.0,0.0,0.0,0.0,0.000106,0.000744,0.0,0.000319,0.000319,0.000106,0.0,0.0,0.0,0.407256,0.015555,0.592627,0.072844,1.014803,0.819332,0,0,822,2571,0,6833,0,0.0,0.086164,204,13,174766.1009
